num,sub1,sub2,sub3,catalyst,additive,ligand,solvent,cosolvent,mediator,electrolyte,anode,cathod,temp,yield,reactivity,doi,note
11,O=C(NC)C1=CC(C)=CC=C1,C=CC1=CC=CC=C1,,Cl[Rh](Cl)C1(C)C(C)=C(C)C(C)=C1C.Cl[Rh](Cl)C2(C)C(C)=C(C)C(C)=C2C,CC(C)(C)C([O-])=O.[Na+],,CO,,,,GC,Pt,100,0.25,0,doi.org/10.1002/anie.202005257,
12,O=C(NC1=C(N=CC=C2)C2=CC=C1)C3=C(C)C=CC=C3,C=CCCCCCC,,CC(O[Co]OC(C)=O)=O.[H]O[H].[H]O[H].[H]O[H].[H]O[H],CC(C)(C)C([O-])=O.[Na+],,CC#N,,,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,GC,Pt,100,0.27,1,doi.org/10.1021/acscatal.0c01436,
13,C12=CC=CC=C1CCCC2,[Na]N=[N+]=[N-],,Cl[Mn]1OC2=CC=CC=C2/C=N/C(C3=CC=CC=C3)C(/N=C/C4=C(O1)C=CC=C4)C5=CC=CC=C5,O=Cl(=O)(O[Li])=O,,CC#N,CC(O)=O,,,GF,Pt,25,0.56,1,DOI: 10.1039/d0sc05924b,
14,O=C(N(C)OC)C1=CC=CC=C1,,,CC(O[Rh]OC(C)=O)=O.CC(O[Rh]OC(C)=O)=O,,,O=C(O)C(F)(F)F,O=C(OC(C(F)(F)F)=O)C(F)(F)F,,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,GF,Pt,25,0.56,1,doi.org/10.1002/anie.202017359,
15,O=C(NC1=C(N=CC=C2)C2=CC(C)=C1)C3=CC=CC=C3,O=P(OC(C)C)(OC(C)C)[H],,COCCOC.Cl[Ni]Cl,N=C(N(C)C)N(C)C,FC(C1=CC(C(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=CC(C(F)(F)F)=C1)(F)F,CC(N(C)C)=O,,,CCCC[N+](CCCC)(CCCC)CCCC.[I-],GF,Ni,110,0.73,1,doi.org/10.1016/j.chempr.2021.04.009,
16,O=CC1=CC=CC=C1O,C1(C#CC#CC2=CC=CC=C2)=CC=CC=C1,,Cl[Rh](Cl)C1(C)C(C)=C(C)C(C)=C1C.Cl[Rh](Cl)C2(C)C(C)=C(C)C(C)=C2C,CC(C)(C)C([O-])=O.[Na+],,CCC(C)(O)C,O,,,GF,Pt,40,0.37,1,doi.org/10.1038/s41467-021-25005-8,
17,O=C(NCCCC)C1=CC=CC=N1,Br[Mg]C1=CC=C(OC)C=C1,,Cl[Mn]Cl,CN(C)CCN(C)C,CC1=NC2=C3N=C(C)C=CC3=CC=C2C=C1,C1CCCO1,,,,GF,Pt,60,0.7,1,doi.org/10.1021/acscatal.1c02516,
18,C1(C2=CC=CC=C2)=NC=CC=C1,[H]Br,,Cl[Ru](Cl)Cl.[H]O[H].[H]O[H].[H]O[H],,,CC(N(C)C)=O,,,,GF,Pt,80,0.83,1,doi.org/10.1002/anie.202201595,
19,OC1=C2C(C=CC=C2)=CC=C1,C=CC1=CC=C(C)C=C1,,Cl[Rh](Cl)C1(C)C(C)=C(C)C(C)=C1C.Cl[Rh](Cl)C2(C)C(C)=C(C)C(C)=C2C,CC(C)(C)C([O-])=O.[Na+],,CCC(C)(O)C,O,,,GF,Pt,85,0.39,1,doi.org/10.1002/anie.202117188,
20,O=C(NC(C)(C)C1=CN(CCCC)N=N1)C2=CC=CC=C2,Br[Mg]C1=CC=C(OC)C=C1,,CC(/C=C(O[Fe](O/C(C)=C\C(C)=O)O/C(C)=C\C(C)=O)/C)=O,CN(C)CCN(C)C.Cl[Zn]Cl,P(CCP(C1=CC=CC=C1)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,C1CCCO1,,,,RVC,Pt,25,0.75,1,doi.org/10.1002/chem.201904018,
21,O=C(NC1=C(N=CC=C2)C2=CC(C)=C1)C3=CC=CC=C3,C=C=CP(C1=CC=CC=C1)(C2=CC=CC=C2)=O,,CC(O[Co]OC(C)=O)=O.[H]O[H].[H]O[H].[H]O[H].[H]O[H],CC(C)(C)C([O-])=O.[Na+],OC1=C(C2=N[C@@H](C3=CC=CC=C3)CO2)C=C(C(C)(C)C)C=C1C(C)(C)C,FC(F)(F)CO,ClCCCl,,C[N+]1=CN(CCCC)C=C1.F[P-](F)(F)(F)(F)F,GF,Pt,25,0.93,1,doi.org/10.1021/acscatal.3c02072,
22,O=C(NC1=CC=CC=C1)C2=CC=CC=N2,C1CNCCO1,,O=S(O[Cu]OS(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,CC(C)(C)C([O-])=O.[K+],,CC#N,,CCCC[N+](CCCC)(CCCC)CCCC.[I-],,Pt,Pt,27,0.92,1,doi.org/10.1021/jacs.8b07380,
23,O=C(NC1=CC=CC=C1)C2=CC=CC=N2,C1CNCCO1,,O=S(O[Cu]OS(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,CC(C)(C)C([O-])=O.[K+],,,,,,Pt,Pt,27,0,0,doi.org/10.1021/jacs.8b07380,
24,C=C(C1=CC=CC=C1)C(O)=O,C1(C#CC2=CC=CC=C2)=CC=CC=C1,,Cl[Ir](Cl)C1(C)C(C)=C(C)C(C)=C1C.Cl[Ir](Cl)C2(C)C(C)=C(C)C(C)=C2C,,,CO,,,CCCC[N+](CCCC)(CCCC)CCCC.CC([O-])=O,Pt,Pt,60,0.2,1,doi.org/10.1021/jacs.9b11915,
25,O=C(NC1=C(N=CC=C2)C2=CC=C1)C3=CC=CC=C3,[H][N+]([H])([H])[H].[Br-],,CC(O[Cu]OC(C)=O)=O,,,O=CN(C)C,,,,Pt,Pt,25,0.5,1,doi.org/10.1021/acs.joc.9b03223,
26,CC1=CC=C(S(=O)(NC2=C(N=CC=C3)C3=CC=C2)=O)C=C1,C#CC1=CC=CC=C1,,CC(O[Co]OC(C)=O)=O.[H]O[H].[H]O[H].[H]O[H].[H]O[H],CC([O-])=O.[Na+],,CCO,CC(O)=O,,,CC,SS,75,0.8,1,DOI:10.1039/D0GC00289E?,
27,OC(C1=C(C)C=CC=C1)=O,C=CC(OCCCC)=O,,Cl[Ir](Cl)C1(C)C(C)=C(C)C(C)=C1C.Cl[Ir](Cl)C2(C)C(C)=C(C)C(C)=C2C,CC([O-])=O.[K+],,FC(F)(F)CO,,,,RVC,Pt,100,0.24,1,doi.org/10.1002/ange.201809611,
28,CC(C=C1)=CC=C1NC2=CC=CC=N2,,,CC(O[Pd]OC(C)=O)=O.P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.P(C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6,,,CC#N,O=C([H])O,,O=Cl(=O)(O[Li])=O,CC,Fe,25,0.92,1,doi.org/10.1021/acscatal.0c00103,
29,N=C(OC)C1=CC=CC=C1,CC(O)(C)C#CCCCC,,Cl[Rh](Cl)C1(C)C(C)=C(C)C(C)=C1C.Cl[Rh](Cl)C2(C)C(C)=C(C)C(C)=C2C,CC(C)(C)C([O-])=O.[Na+],,CO,CC(C)(C)C(O)=O,,,GF,Ni,25,0.83,1,doi.org/10.1021/jacs.9b07763,
30,O=C(C(O)=O)C1=CC=CC=C1,C1(C#CC2=CC=CC=C2)=CC=CC=C1,,CC1=CC=C(C(C)C)C=C1.Cl[Ru]Cl.CC2=CC=C(C(C)C)C=C2.Cl[Ru]Cl,CC(C)(C)C([O-])=O.[Na+],,CCC(C)(O)C,O,,,CC,Pt,60,0.62,1,10.1039/C9CC03210J ,
31,O=C1N=C(C2=CC=CC=C2)OC3=CC=CC=C31,O=S(O[K])(OO)=O,,CC(O[Pd]OC(C)=O)=O,,,CC#N,,,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,Pt,Pt,50,0.78,1,doi.org/10.1002/adsc.202000173,
32,O=C(OC(C)(C)C)OC(CC)C#CC1=CC=CC=C1,O=C=O,,COCCOC.Br[Ni]Br,,C[C@@H](O1)CN=C1C2=CC=CC(C3=N[C@H](C)CO3)=N2,O=CN(C)C,,,O=Cl(=O)([O-])=O.CCCC[N+](CCCC)(CCCC)CCCC,Zn,Ni,0,0.81,1,doi.org/10.1021/jacs.4c04211,
33,O=C(CC1=CC=CC=C1)C2=NC=CN2C(C)C,OC1=C(C)C=C(C)C=C1C,,CC(O[Ni]OC(C)=O)=O,,ClC(C=CC=C1Cl)=C1CN[C@@H](C2=CC=CC=C2)[C@H](C3=CC=CC=C3)NCC4=C(Cl)C=CC=C4Cl,CC1=CC=CC=C1,OC(C(F)(F)F)C(F)(F)F,,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,CC,CC,0,0.39,1,doi.org/10.1002/anie.201901801,
34,O=C(C1CCC(C2=CC=CC=C2)=N1)OC,OC1=CC=C(O)C(C)=C1C,,CC#N.CC#N.CC#N.CC#N.F[B-](F)(F)F.[Cu+],CC([O-])=O.[K+],CC(C)(C)[C@@H](CO1)N=C1C(C=C2)=C(P(C3=CC=CC=C3)C4=CC=CC=C4)C2[Fe]C5C=CC=C5,C1CCCO1,,,O=Cl(=O)([O-])=O.CCCC[N+](CCCC)(CCCC)CCCC,CC,CC,10,0.71,1,doi.org/10.1038/s41467-023-42603-w,
35,O=C(CC1=CC=CC=C1)C2=NC=CN2C3=CC=CS3,C=C(C1=CC=CC=C1)C2=CC=CC=C2,,Cl[Ni]Cl,CC(C1=CC=CC(C(C)(C)C)=N1)(C)C,ClC(C=CC=C1Cl)=C1CN[C@@H](C2=C(C)C=C(C)C=C2C)[C@H](C3=C(C)C=C(C)C=C3C)NCC4=C(Cl)C=CC=C4Cl,CC#N,,,CCCC[N+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,BDD,Pt,10,0.56,1,10.1126/sciadv.add7134,
